,name,url,price,product_code,img_url,size,category_path,img_file
2228,Home Gourmet Dessert Mix -  Chinese Almond Jelly 65G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13576&productId=41628&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13501&storeId=10001,2.35,41628.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/104638_M1.jpg,,Groceries->Baking Needs->Jelly Powder & Mix,104638_M1.jpg
2229,Swallow Agar Agar Powder - Red 10G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13576&productId=41496&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13501&storeId=10001,1.1,41496.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/49347_M1.jpg,,Groceries->Baking Needs->Jelly Powder & Mix,49347_M1.jpg
2230,Swallow Agar Agar Powder - White 10G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13576&productId=41494&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13501&storeId=10001,1.1,41494.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/49339_M1.jpg,,Groceries->Baking Needs->Jelly Powder & Mix,49339_M1.jpg
2231,Swallow Agar Agar Powder - Green 10G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13576&productId=41492&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13501&storeId=10001,1.1,41492.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/49321_M1.jpg,,Groceries->Baking Needs->Jelly Powder & Mix,49321_M1.jpg
2232,Tollyjoy Access  Vgt LClnsr Rf ABactPink 900ML,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=38031&productId=96648&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13506&parent_category_rn=13512&storeId=10001,10.5,96648.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13018270_M1.jpg,,Baby Needs->Baby Care->Baby Cleanser,13018270_M1.jpg
2233,Tollyjoy BB Accesso  Vgt LClnsr ABactPink 900ML,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=38031&productId=78006&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13506&parent_category_rn=13512&storeId=10001,11.5,78006.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/12331923_M1.jpg,,Baby Needs->Baby Care->Baby Cleanser,12331923_M1.jpg
2234,Tollyjoy BB Accessories  Vgt LClnsr RfBlue 900ML,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=38031&productId=44466&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13506&parent_category_rn=13512&storeId=10001,9.5,44466.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/11743248_M1.jpg,,Baby Needs->Baby Care->Baby Cleanser,11743248_M1.jpg
2235,Tollyjoy BB Accessories  Vgt LCleansr Blue 900ML,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=38031&productId=43172&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13506&parent_category_rn=13512&storeId=10001,9.5,43172.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/10748012_M1.jpg,,Baby Needs->Baby Care->Baby Cleanser,10748012_M1.jpg
2236,Pigeon Sterilizing Tablets 32 Tablets 1S,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=38031&productId=26394&errorViewName=ProductDisplayErrorView&langId=-1&top_category=&parent_category_rn=38031&storeId=10001,6.7,26394.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/11044586_M1.jpg,,Baby Needs->Baby Care->Baby Cleanser,11044586_M1.jpg
2237,Fortune Cooked Noodle Round 420G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&errorViewName=ProductDisplayErrorView&parent_category_rn=13664&productId=74224&urlRequestType=Base&categoryId=13662&top_category=13504&catalogId=10051,1.25,74224.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13001633_M1.jpg,,Fresh Food->Prepacked Food->Prepacked Noodles,13001633_M1.jpg
2238,Hosei Udon - Miso 3S 690G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13662&productId=19226&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13504&parent_category_rn=13504&storeId=10001,4.9,19226.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/10578463_M1.jpg,,Fresh Food->Prepacked Food->Prepacked Noodles,10578463_M1.jpg
2239,Hosei Udon - Tempura 3S 690G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13662&productId=19042&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13504&parent_category_rn=13504&storeId=10001,4.9,19042.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/10471930_M1.jpg,,Fresh Food->Prepacked Food->Prepacked Noodles,10471930_M1.jpg
2240,Sakura - Laksa Bee Hoon Plus Brown Rice 400G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13662&productId=131544&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13504&parent_category_rn=13662&storeId=10001,1.3,131544.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/12372338_M1.jpg,,Fresh Food->Prepacked Food->Prepacked Noodles,12372338_M1.jpg
2241,Sakura - Flat Hokkien Noodle Plus Brown Rice 400G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13662&productId=131524&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13504&parent_category_rn=13662&storeId=10001,1.3,131524.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/12266594_M1.jpg,,Fresh Food->Prepacked Food->Prepacked Noodles,12266594_M1.jpg
2242,Orient Soba With Wasabi 200G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13662&productId=47916&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13504&parent_category_rn=13504&storeId=10001,2.05,47916.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/10132058_M1.jpg,,Fresh Food->Prepacked Food->Prepacked Noodles,10132058_M1.jpg
