,Unnamed: 0,store_website,description,regular_price,url,image,promotion_quantity,brand,store_name,store_slug,discount,promotion_price,measurement,image_large_url,product_code,availability,store,name,img_file
589,589,http://www.primeonline.com.sg/,Darlie Kids Dental Toothbrush Set,3.95,http://www.primeonline.com.sg/darlie-kids-dental-toothbrush-set.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/d/a/darliekidsdentaltbset1s_030400093_main.jpg,,Darlie,Prime Supermarket,prime-supermarket,,,1s,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/d/a/darliekidsdentaltbset1s_030400093_main.jpg,30400093,True,,Darlie Kids Dental Toothbrush Set,darliekidsdentaltbset1s_030400093_main.jpg
590,590,http://www.primeonline.com.sg/,Darlie Toothbrush Gold Clean,9.0,http://www.primeonline.com.sg/darlie-toothbrush-gold-clean.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/d/a/darlietbgoldclean3s_030401122_main_3.jpg,,Darlie,Prime Supermarket,prime-supermarket,,,3s,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/d/a/darlietbgoldclean3s_030401122_main_3.jpg,30401122,True,,Darlie Toothbrush Gold Clean,darlietbgoldclean3s_030401122_main_3.jpg
591,591,http://www.primeonline.com.sg/,Between Toothbrush Hard,1.9,http://www.primeonline.com.sg/between-toothbrush-hard.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/b/e/betweentbhard1s_030400118_main_3.jpg,,Between,Prime Supermarket,prime-supermarket,,,1s,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/b/e/betweentbhard1s_030400118_main_3.jpg,30400118,False,,Between Toothbrush Hard,betweentbhard1s_030400118_main_3.jpg
592,592,http://www.primeonline.com.sg/,Chwee Song Jing Pei Rou Gu Cha Xiang Liao,3.2,http://www.primeonline.com.sg/chwee-song-jing-pei-rou-gu-cha-xiang-liao.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/c/h/chweesongjingpeirouguchaxiangliao30g_022100025_main.jpg,,Chwee Song,Prime Supermarket,prime-supermarket,,,30 g,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/c/h/chweesongjingpeirouguchaxiangliao30g_022100025_main.jpg,22100025,True,,Chwee Song Jing Pei Rou Gu Cha Xiang Liao,chweesongjingpeirouguchaxiangliao30g_022100025_main.jpg
593,593,http://www.primeonline.com.sg/,Allswell Starfruit,2.1,http://www.primeonline.com.sg/allswell-starfruit.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/a/l/allswellstarfruit_023200675_main.jpg,,Allswell,Prime Supermarket,prime-supermarket,1.9,,1L,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/a/l/allswellstarfruit_023200675_main.jpg,23200675,True,,Allswell Starfruit,allswellstarfruit_023200675_main.jpg
594,594,http://www.primeonline.com.sg/,Allswell Water Chestnut & Sugar Cane,2.1,http://www.primeonline.com.sg/allswell-water-chestnut-sugar-cane.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/a/l/allswellwaterchestnut_023200673_main.jpg,,Allswell,Prime Supermarket,prime-supermarket,1.9,,1L,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/a/l/allswellwaterchestnut_023200673_main.jpg,23200673,True,,Allswell Water Chestnut & Sugar Cane,allswellwaterchestnut_023200673_main.jpg
595,595,http://www.primeonline.com.sg/,Allswell Plum (Less Sugar),2.1,http://www.primeonline.com.sg/allswell-plum-less-sugar.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/a/l/allswellplumlesssugar_023200714_main.jpg,,Allswell,Prime Supermarket,prime-supermarket,1.9,,1L,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/a/l/allswellplumlesssugar_023200714_main.jpg,23200714,True,,Allswell Plum (Less Sugar),allswellplumlesssugar_023200714_main.jpg
596,596,http://www.primeonline.com.sg/,Allswell Plum & Passionfruit,2.1,http://www.primeonline.com.sg/allswell-plum-passionfruit-2183.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/a/l/allswellplumpassion_023200716_main.jpg,,Allswell,Prime Supermarket,prime-supermarket,1.9,,1L,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/a/l/allswellplumpassion_023200716_main.jpg,23200716,True,,Allswell Plum & Passionfruit,allswellplumpassion_023200716_main.jpg
597,597,http://www.primeonline.com.sg/,Allswell Plum & Passionfruit,1.3,http://www.primeonline.com.sg/allswell-plum-passionfruit.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/a/l/allswellplumpassion_023200710_main.jpg,,Allswell,Prime Supermarket,prime-supermarket,1.15,,500 ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/a/l/allswellplumpassion_023200710_main.jpg,23200710,True,,Allswell Plum & Passionfruit,allswellplumpassion_023200710_main.jpg
598,598,http://www.primeonline.com.sg/,Allswell Longan Red Date,1.3,http://www.primeonline.com.sg/allswell-longan-red-date-2003.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/a/l/allswelllongan_023200687_main.jpg,,Allswell,Prime Supermarket,prime-supermarket,1.15,,500 ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/a/l/allswelllongan_023200687_main.jpg,23200687,True,,Allswell Longan Red Date,allswelllongan_023200687_main.jpg
